Video ID,Channel name ,Time of Publishing,Title,Genre,Comment,Error,Category,Correct Form,corrected_text,generated_reason
fHWz7UXPx6A,Peacock Entertainment,2023-11-23T12:00:12Z,Bad Ass (খারাপ গাধা) Ep 01 | Prottoy Heron | Mahima | Bannah | Samina | Mona | Anik | New Natok 2023,Entertainment,আমার মতো কে কে মনাকে দেখে এই নাটক দেখতে আসছেন আমি কিন্ত মনার ফ্যান❤,1,Multiple Errors,আমার মতো কে কে মনাকে দেখে এই নাটক দেখতে আসছেন আমি কিন্তু মনার ভক্ত❤,আমার মতো আর কে কে মনাকে দেখে এই নাটক দেখতে আসছেন? আমি কিন্তু মনার ফ্যান। ❤️,"কে কে - আর কে কে, কিন্ত - কিন্তু।"
tqQ-4FMiC-w,Buddhiman,2019-08-25T12:07:15Z,৫ জন বাঙালি বিজ্ঞানী যারা ইতিহাস বদলে দিয়েছেন । 5 Bengali scientists who have changed history.,Miscellaneous,"বাংলা গর্বে গর্বিত, আমি গর্বিত আমি বাঙালি, আজকের প্রজন্মের কাছে এতো ভালো করে বাঙালির গর্বের ইতিহাস তুলে ধরার জন্য ধন্যবাদ স্যার😊",1,Spelling,"বাংলা গর্বে গর্বিত, আমি গর্বিত আমি বাঙালি, আজকের প্রজন্মের কাছে এত ভালো করে বাঙালির গর্বের ইতিহাস তুলে ধরার জন্য ধন্যবাদ স্যার😊","বাংলা গর্বে গর্বিত। আমি গর্বিত, আমি বাঙালি। আজকের প্রজন্মের কাছে এত ভালো করে বাঙালির গর্বের ইতিহাস তুলে ধরার জন্য ধন্যবাদ, স্যার। 😊","এতো-এত, স্যার😊-স্যার।"
_jhKcX7ua60,AGAMi TV,2021-09-28T14:46:54Z,খোকা থেকে বঙ্গবন্ধু জাতির পিতা - বাংলাদেশে প্রথম পূর্ণদৈর্ঘ্য এনিমেশন চলচ্চিত্র,Entertainment ,জাতির পিছা জাতির পিছা জিতির পিছা,1,Spelling,জাতির পিতা জাতির পিতা জিতির পিতা,জাতির পিছে জাতির পিছে জেতের পিছে।,"পিছা - পিছে, জিতির - জেতের।"
Uu967gl03MU,Zunaid Ahmed Palak,2016-03-08T17:34:27Z,বঙ্গবন্ধুর ঐতিহাসিক ৭ই মার্চের ভাষণ | Historical 07th March Speech of Bangabandhu,Politics,শেখ মুজিবর রহমান এই বাংলার সকল মানুষের মধ্যে বেচে থাকবে।,1,Spelling,শেখ মুজিবর রহমান এই বাংলার সকল মানুষের মধ্যে বেঁচে থাকবে।,শেখ মুজিবুর রহমান এই বাংলার সকল মানুষের মধ্যে বেঁচে থাকবেন।,"বেচে - বেঁচে, থাকবে-থাকবেন।"
qumC5k372kg,AdvuTurea,2019-02-28T13:37:59Z,ভারত পাকিস্থান ১৯৭১/The Story Behind 1971 Indo-Pakistan war || Bengali ||,Miscellaneous,আমি বাংলাদেশের মানুষ আমি ভারত এর উপর আন্তরিক ভালবাসা জানাই❤❤❤❤❤❤❤❤❤❤,1,Spelling,আমি বাংলাদেশের মানুষ আমি ভারত এর উপর আন্তরিক ভালোবাসা জানাই❤❤❤❤❤❤❤❤❤❤,"আমি বাংলাদেশের মানুষ, আমি ভারতের উপর আন্তরিক ভালোবাসা জানাই। ❤❤❤❤❤❤❤❤❤❤","এর-এর/এর প্রতি, ভালবাসা-ভালোবাসা, comma added after মানুষ."
lN4vbH9FGKY,Anupam Movie Songs,2021-02-23T14:00:49Z,Porena Chokher Polok | পড়েনা চোখের পলক | Riaz & Ravina |  Andrew | Praner Cheye Priyo | Anupam,Entertainment ,"পুরনো দিনের গানের মত আর হবে না, কোন দিন।",1,Spelling,"পুরোনো দিনের গানের মত আর হবে না, কোন দিন।","পুরোনো দিনের গানের মতো আর হবে না, কোনো দিন।","মত-মতো, কোন-কোনো।"
v_aRX2RyFfA,Ekattor TV,2023-04-19T17:05:00Z,রিয়াদের পারদর্শিতা নিয়ে যা বললেন ম্যাশ | Mahmudullah Riyad | Cricket | Ekattor TV,News,এই দেশে প্রতিবার মেধার কোনো দাম না তাই বলে ই তো আজ আমাদের এই আবস্তা 😢,1,Spelling,এই দেশে প্রতিবার মেধার কোন দাম না তাই বলে ই তো আজ আমাদের এই অবস্থা 😢,"এই দেশে প্রতিবার মেধার কোনো দাম নেই, তাই তো আজ আমাদের এই অবস্থা। 😢","না - নেই, বলে ই তো - তাই তো, আবস্তা - অবস্থা।"
Uu967gl03MU,Zunaid Ahmed Palak,2016-03-08T17:34:27Z,বঙ্গবন্ধুর ঐতিহাসিক ৭ই মার্চের ভাষণ | Historical 07th March Speech of Bangabandhu,Politics,উপ মহাদেশের সবচেয়ে বড় নেতা সেক মুজিব আমি কলকার বাঙালি হয়ে তাকে সেলুট জানাই এই মহান নেতা কে ধর্ম নয় সুধু মাত্র ভাষার জন্য যারা দেশের হয়ে রক্ত ঝরিয়েছেন আমি ভারতীয় হলেও আমি গর্বিত আমি বাঙালি,1,Spelling,উপ মহাদেশের সবচেয়ে বড় নেতা সেক মুজিব আমি কলকাতার বাঙালি হয়ে তাকে সেলুট জানাই এই মহান নেতা কে ধর্ম নয় শুধু মাত্র ভাষার জন্য যারা দেশের হয়ে রক্ত ঝরিয়েছেন আমি ভারতীয় হলেও আমি গর্বিত আমি বাঙালি,"উপমহাদেশের সবচেয়ে বড় নেতা শেখ মুজিব। আমি এক কল-কারখানার বাঙালি হয়ে তাঁকে স্যালুট জানাই। এই মহান নেতাকে ধর্ম নয়, শুধুমাত্র ভাষার জন্য যারা দেশের হয়ে রক্ত ঝরিয়েছেন। আমি ভারতীয় হলেও গর্বিত যে আমি বাঙালি।","সেক - শেখ, কলকার - কল-কারখানার, তাকে - তাঁকে, সুধু - শুধুমাত্র, কে-এর স্থলে কমা (,) বসেছে, ঝরিয়েছেন এর পরে দাঁড়ি(।), গর্বিত এর পরে যে শব্দটি যুক্ত হয়েছে, আমি বাঙালি এর আগে ""গর্বিত যে"" কথাটি যুক্ত করা হয়েছে।"
A36RZ_oOODA,Deepto TV,2022-05-06T17:00:10Z,Comedy Natok: Petuk - পেটুক | Mosharraf Karim | Rehnuma Mostafa | Eid Natok 2022,Entertainment,শেষ টার জন্য মোটেও পস্তুত ছিলাম না 💔😭,1,Spelling,শেষ টার জন্য মোটেও প্রস্তুত ছিলাম না 💔😭,শেষটার জন্য মোটেও প্রস্তুত ছিলাম না। 💔😭,পস্তুত - প্রস্তুত।
ZB08NmCG3ro,SOMOY TV,2021-12-22T03:36:45Z,প্রতারণার ফাঁদে পা দিয়ে বহু নারী হারিয়েছেন লাখ লাখ টাকা | Dhaka News | Somoy TV,News,কেমন মানুষ ৭ লাখ টাকা মানুষ দিয়া দেয় নাকি😄,1,Spelling,কেমন মানুষ ৭ লাখ টাকা মানুষ দিয়ে দেয় নাকি😄,কেমন মানুষ ৭ লাখ টাকা মানুষকে দিয়ে দেয় নাকি?,মানুষ দিয়া-মানুষকে দিয়ে।
Z5d69TFvIno,NTV,2023-06-13T15:34:47Z,প্রবাসী আফরোজা দেশে এসে শ্বশুরবাড়িতে খু*ন! | অনুসন্ধান | ক্রাইম ওয়াচ | Crime Watch | EP 369 | NTV,News,মহিলা পুলিশ না হয়ে যদি পুরুষ  পুলিশ হতো তা হলে  টাকা খেয়ে মামলা  ফিনিস  করে দিতো,1,Spelling,মহিলা পুলিশ না হয়ে যদি পুরুষ  পুলিশ হতো তা হলে  টাকা খেয়ে মামলা  শেষ  করে দিতো,"মহিলা পুলিশ না হয়ে যদি পুরুষ পুলিশ হতো, তাহলে টাকা খেয়ে মামলা ফিনিশ করে দিত।","তা হলে - তাহলে, ফিনিস - ফিনিশ।"
j-N2SXV3SvY,CD Choice Music,2019-08-07T05:57:49Z,Mon Pinjira | মন পিঞ্জিরা | Rakib Musabbir | Shilpi Biswas | Official Music Video | Bangla Hits Song,Entertainment ,"প্রিয় মানুষ ছেরে চলে গেছে বলে,ঐ গান গুলো বিশে শুনে হয়,ভালো থাকে,,প্রিয় মানুষ গুলো,,, S ❤",1,Spelling,"প্রিয় মানুষ ছেড়ে চলে গেছে বলে,ঐ গান গুলো বেশি শুনে হয়,ভালো থাকে,,প্রিয় মানুষ গুলো,,, S ❤","প্রিয় মানুষ ছেড়ে চলে গেছে বলে, ঐ গানগুলো বিশেষ/বিষণ্ণ মনে শুনে, ভালো লাগে। প্রিয় মানুষগুলো... S ❤","ছেরে-ছেড়ে, বিশে-বিশেষ/বিষণ্ণ মনে, শুনে হয়-শুনে, থাকে,,,-লাগে, গুলো,,,-গুলো।"
YxXER0HEsgY,Channel 24,2023-01-09T12:10:48Z,মুক্তি পেয়ে যা বললেন মির্জা ফখরুল... | mirza fakhrul | Channel 24,Politics,আললাহ তুমি  এই মহান নেতার হাতদিয়ে বাংলাদেশ কে জুলুম থেকে মুক্তি করুন,1,Spelling,আল্লাহ তুমি  এই মহান নেতার হাত দিয়ে বাংলাদেশ কে জুলুম থেকে মুক্তি করুন,আল্লাহ তুমি এই মহান নেতার হাত দিয়ে বাংলাদেশকে জুলুম থেকে মুক্তি দিন।,"আললাহ-আল্লাহ, কে-কে, করুন-দিন।"
