Video ID,Channel name,Time of Publishing,Title,Genre,Comment,corrected_text,generated_reason
F0WwuiYfDvw,ATN News,2023-01-02T14:57:54Z,ভয়ংকর জালিয়াতি করা কে এই রহস্যময় নারী? | Crime News BD | BD Crime | Investigation News | ATN News,News,যেকোন সরকারি উচ্চ পদস্থ অফিসার পদে দাদারা আসার ফল,যেকোনো সরকারি উচ্চপদস্থ কর্মকর্তার পদে আসার ফল।,"যেকোন-যেকোনো, অফিসার-কর্মকর্তা, দাদারা-উল্লেখ করা হয়নি এমন/ বাদ দেওয়া হয়েছে।"
H3b_gR7B_Po,SOMOY TV,2023-06-03T14:21:46Z,বিদ্যুৎ কেন নাই ব্যাখ্যা দিলেন প্রধানমন্ত্রী | Load Shedding Bangladesh | Sheikh Hasina | Somoy TV,Politics,এমন কোন জিনিসটা আছে যেটার দাম বাড়ে নাই😂নিজের দেশে উৎপাদিত পণ্য সেটার ও দাম বৃদ্ধি😅 বলেন সাধারণ মানুষ বাঁচবে কি করে🙂,"এমন কোনো জিনিসটা আছে যেটার দাম বাড়েনি? নিজের দেশে উৎপাদিত পণ্যেরও দাম বৃদ্ধি। বলেন, সাধারণ মানুষ বাঁচবে কী করে?",কোন - কোনো; সেটার ও - পণ্যেরও; কি করে - কী করে; Removed unnecessary emojis.
EyJjW6aaSKI,NiRJHAR EDUCATION,2021-09-19T14:30:04Z,সিলেটের ভাষা Vs চট্টগ্রামের ভাষা | আঞ্চলিক ভাষার লড়াই,Entertainment,তার মানে আমরা সিলেটি ❤❤❤,তার মানে আমরা সিলেটি।,সিলেটি ❤❤❤-সিলেটি।
e4rYWAVnYV0,Bangladesh Student Council,2021-08-15T11:46:01Z,কি হয়েছিল সেই কলঙ্কিত রাতে! || A Documentary Film of 15 August || By Bangladesh Student Council,Miscellaneous,১৫ ই আগস্ট এর অনেক অনেক শুভেচ্ছা জানাই,১৫ই আগস্টের অনেক অনেক শুভেচ্ছা জানাই।,১৫ ই আগস্ট এর - ১৫ই আগস্টের।
xWYmLbx1SyM,ATN Bangla News,2023-11-03T13:37:17Z,বিএনপির মাজা ভাঙ্গা নিয়ে কি বললেন ভিপি নূর। Nurul Haq Nur | VP Nur | ATN Bangla News,Politics,সঠিক কথা বলার জন্য ধন্যবাদ,সঠিক কথা বলার জন্য ধন্যবাদ।,No changes needed.
FX-xYBAPys4,94.4 JAGO FM,2018-05-22T11:16:35Z,Tik Talk with DJ Sonica | Episode 03,Entertainment,ভাই বিষয়টা একটু বাড়াবাড়ি হয়ে গেলো না!!,"ভাই, বিষয়টা একটু বাড়াবাড়ি হয়ে গেল না?","গেলো - গেল, !! - ?"
wOr8GVI-1OU,Elias Hossain,2022-01-30T10:02:28Z,"সত্যকে ঢেকে মিথ্যা শেখানো হচ্ছে আমাদের, সত্য জানুন || ইতিহাসের আসল রুপ|| Behind The History || vol-1",Miscellaneous,ইতিহাস তুলে ধরার জন্য সাংবাদিক ভাইকে ধন্যবাদ।,ইতিহাস তুলে ধরার জন্য সাংবাদিক ভাইকে ধন্যবাদ।,No changes needed.
doveDe9YvJc,roni mazumder,2023-04-26T14:22:32Z,সন্ধ্যায় জমজমাট চীনের ফুটপাথ মার্কেট ।।   CHINA TRAVEL VLOG,Miscellaneous,খুব খুব ভালো লাগলো।সহজ উপায়ে বিস্তারিত ভাবে উপস্থাপন করছেন। খুব সুন্দর। আরো ভিডিও চাই চীনের আনুষঙ্গিক উপকরণ নিয়ে।,খুব খুব ভালো লাগলো। সহজ উপায়ে বিস্তারিতভাবে উপস্থাপন করছেন। খুব সুন্দর। চীনের আনুষঙ্গিক উপকরণ নিয়ে আরও ভিডিও চাই।,"সহজ উপায়ে-সহজ উপায়ে, বিস্তারিত ভাবে-বিস্তারিতভাবে, আরো-আরও।"
MASNINTDxlA,SK Films,2019-08-08T13:28:17Z,Title Song |  Moner Moto Manush Pailam Na - মনের মতো মানুষ পাইলাম না । SHAKIB KHAN l BUBLY,Entertainment,বাহ অসাধারণ হয়েছে গানটা। মনটা ছুঁয়ে গেলো।😍😍😍😍😍😍,"বাহ, অসাধারণ হয়েছে গানটা। মনটা ছুঁয়ে গেল।","হয়েছে-হয়েছে, গেলো-গেল।"
A36RZ_oOODA,Deepto TV,2022-05-06T17:00:10Z,Comedy Natok: Petuk - পেটুক | Mosharraf Karim | Rehnuma Mostafa | Eid Natok 2022,Entertainment,প্রথমে ভাবলাম দুজন দুজনকে ভালোবাসে শেষে দেখছি বিয়ে করেও খুশি।,"প্রথমে ভাবলাম দুজন দুজনকে ভালোবাসে, শেষে দেখছি বিয়ে করেও খুশি নয়।",খুশি-খুশি নয়।
