Video ID,Channel name ,Time of Publishing,Title,Genre,Comment,Error,Category,Correct Form,corrected_text,generated_reason
O447Od0KaG8,Rasel 2 million,2023-01-11T09:00:05Z,রাতারাতি টিকটকে ভাইরাল ডায়লগ | Mosharraf | Habu vai |Tawhid Afridi |  Bangla Viral Dialogue | R2M,Entertainment,জেতার অনেক কায়দা আছে জিততে আমি পারি তোমার এই সহজ খেলায় ইচ্ছে করে হাড়ি 🥀🥰,1,Spelling,জেতার অনেক কায়দা আছে জিততে আমি পারি তোমার এই সহজ খেলায় ইচ্ছে করে হারি 🥀🥰,"জেতার অনেক কায়দা আছে, জিততে আমি পারি। তোমার এই সহজ খেলায় ইচ্ছে করে হারি। 🥀🥰","কায়দা আছে জিততে আমি পারি তোমার এই সহজ খেলায় ইচ্ছে করে হাড়ি - কায়দা আছে, জিততে আমি পারি। তোমার এই সহজ খেলায় ইচ্ছে করে হারি।"
VwjNUh4Dqx0,MASUM,2023-07-04T19:26:37Z,প্রিয়তমা- Priyotoma || Shakib Khan || Movie Review || MASUM,Entertainment,ধন্যবাদ ভাই আপনার রিভিউ দেখার অপেক্ষায় ছিলাম ওরা সিনেমার মানেই বুঝে না,1,Code Switching,ধন্যবাদ ভাই আপনার মূল্যায়ন দেখার অপেক্ষায় ছিলাম ওরা সিনেমার মানেই বুঝে না,"ধন্যবাদ ভাই, আপনার রিভিউ দেখার অপেক্ষায় ছিলাম। ওরা সিনেমার মানেই বোঝে না।","আপনার-আপনার, ওরা-ওরা, বুঝে-বোঝে।"
rBrpWoozEHc,Media news Bangla,2021-05-19T15:54:48Z,যে কারনে মাশরাফির এই ভিডিও সুপার ভাইরাল | Mashrafe Bin Mortaza,Politics,"মাঠের আদর্শ নেতা, দেশের ও আদর্শ নেতা।।সত্য আর ন্যায় কথা বলার মত একজন দেশ নেতা",1,Spelling,"মাঠের আদর্শ নেতা, দেশের ও আদর্শ নেতা।।সত্য আর ন্যায় কথা বলার মতো একজন দেশ নেতা","মাঠের আদর্শ নেতা, দেশেরও আদর্শ নেতা। সত্য আর ন্যায় কথা বলার মতো একজন দেশনেতা।","ও - ও-ও, মত-মতো, নেতা-দেশনেতা।"
onNXCzLaSGI,Anupam Movies,2018-12-16T09:30:00Z,Ora Egaro Jon | ওরা এগারো জন | Khoshru Razzak & Shabana | Bangla Full Movie,Entertainment,"বেশিরভাগ মুক্তিযুদ্ধের ছবি দেখা শেষ, যেটা বুঝলাম বঙ্গবন্ধু শেখ মুজিবুর রহমানের যে অবদান দেশ স্বাধীনের পিছনে তা কোনদিন ভুল আর নয়। শেখ মুজিব ছিল বলেই হয়তো বাংলাদেশ স্বাধীন হয়েছে! সবগুলো ছবিতে জয় বাংলা  স্লোগান জয় বাংলা ❤",1,Spelling,"বেশিরভাগ মুক্তিযুদ্ধের ছবি দেখা শেষ, যেটা বুঝলাম বঙ্গবন্ধু শেখ মুজিবুর রহমানের যে অবদান দেশ স্বাধীনের পিছনে তা কোনদিন ভুল আর নয়। শেখ মুজিব ছিল বলেই হয়ত বাংলাদেশ স্বাধীন হয়েছে! সবগুলো ছবিতে জয় বাংলা  স্লোগান জয় বাংলা ❤","বেশিরভাগ মুক্তিযুদ্ধের ছবি দেখা শেষ, যেটা বুঝলাম বঙ্গবন্ধু শেখ মুজিবুর রহমানের দেশ স্বাধীনের পিছনে যে অবদান তা কোনদিন ভোলার নয়। শেখ মুজিব ছিলেন বলেই হয়তো বাংলাদেশ স্বাধীন হয়েছে! সবগুলো ছবিতে জয় বাংলা স্লোগান, জয় বাংলা।","যে অবদান দেশ স্বাধীনের পিছনে তা কোনদিন ভুল আর নয় - দেশ স্বাধীনের পিছনে যে অবদান তা কোনদিন ভোলার নয়, ছিল-ছিলেন, ❤-removed, ভুল আর নয় - ভোলার নয়।"
jBPBBBqCSaQ,SOMOY TV,2021-06-29T14:07:22Z,'আমি অনেক দুর্বল ছিলাম পরে ৮টা ডিম খাওয়া শুরু করি' | Salman Muqtadir | Somoy TV,Entertainment,হালা তুই বাংলা সিনেমা শেষ করছস,1,Spelling,শালা তুই বাংলা সিনেমা শেষ করছস,"হালা, তুই বাংলা সিনেমা শেষ করেছিস।",করছস-করেছিস।
BQeKME-_OOM,CTV BANGLA,2023-06-02T08:00:10Z,প্রাচীন বঙ্গের ইতিহাস | বাংলা ও বাংলাদেশের ইতিহাস | কেমন ছিল প্রাচীন বাংলা? | CTV BANGLA.,Miscellaneous,সেরা একটা ইতিহাস তবে অনেক কিছু বলাহয়নি ও ভুল তথ্যও দিয়েছেন কিছু,1,Spelling,সেরা একটা ইতিহাস তবে অনেক কিছু বলা হয়নি ও ভুল তথ্যও দিয়েছেন কিছু,"সেরা একটা ইতিহাস, তবে অনেক কিছু বলা হয়নি ও কিছু ভুল তথ্যও দিয়েছেন।","বলাহয়নি - বলা হয়নি, দিয়েছেন কিছু - কিছু দিয়েছেন।"
YiuLq4WBJ78,Live Tech,2019-12-25T06:00:03Z,Lol | Afran Nisho | Tanjin Tisha | Polash | Kajal Arefin Ome | Bangla New Natok 2019,Entertainment,শুরু থেকে একদম শেষ পর্যন্ত নাটকের নামটার স্বার্থকতা খুঁজে পাইলাম 😂 A Big Thumbs up specially to Kazol Arefin Omi vhai! 👍👌,1,Spelling,শুরু থেকে একদম শেষ পর্যন্ত নাটকের নামটার স্বার্থকতা খুঁজে পেলাম 😂 A Big Thumbs up specially to Kazol Arefin Omi vhai! 👍👌,শুরু থেকে একদম শেষ পর্যন্ত নাটকের নামটার সার্থকতা খুঁজে পেলাম 😂। A Big Thumbs up specially to Kajol Arefin Omi ভাই! 👍👌,"পাইলাম-পেলাম, vhai-ভাই।"
iA3SBKP8DCU,Ekattor TV,2023-08-12T07:57:24Z,বাধ্য হয়েই সুযোগ দেয়া হয়েছে তামিমকে ? | Tamim Iqbal | Riyad | Cricket | Ekattor TV,Sports,ভাইয়া আপনার কথা গুলোকে একে বারে শ্যতি,1,Spelling,ভাইয়া আপনার কথা গুলোকে একে বারে সত্যি ,"ভাইয়া, আপনার কথাগুলোকে একবারে সত্যি।","একে বারে - একবারে, শ্যতি - সত্যি।"
jgYF9lKqAEA,Bangladeshi Food Reviewer,2023-06-30T08:00:22Z,আমাদের কোরবানি ঈদ 🌙 Qurbani Vlog 2023,Miscellaneous,কোরবানি পরশুর ভিডিও ভালো লাগে,1,Spelling,কোরবানি পশুর ভিডিও ভালো লাগে,কোরবানির পরের ভিডিও ভালো লাগে।,পরশুর - পরের।
gMeeozaMmIM,Laser Vision,2018-01-13T11:04:17Z,Surja Dighal Bari | Bangla Movie | Dolly Anwar | Zahirul Haque | Rowshan Jamil | Sheikh Niamat Ali,Entertainment,ওতো কিছু জানি না কিন্তু এই যুগে এসে যারা এই মুভিটা দেখে বা দেখতাছে তারা সমাজ এর অন্য দশ জন মানুষ থিকা আলাদা মনের অধিকারি,1,Multiple Errors,অত কিছু জানি না কিন্তু এই যুগে এসে যারা এই চলচ্চিত্রটা দেখে বা দেখছে তারা সমাজ এর অন্য দশ জন মানুষ থেকে আলাদা মনের অধিকারী,"অত কিছু জানি না, কিন্তু এই যুগে এসে যারা এই মুভিটা দেখে বা দেখছে, তারা সমাজের অন্য দশ জন মানুষের থেকে আলাদা মনের অধিকারী।","ওতো-অত, দেখতাছে-দেখছে, এর-এর/সমাজের, থিকা-থেকে।"
VDkwtmKahXo,Open T School,2021-09-30T18:29:01Z,কে ছিলেন মহম্মদ আতাউল গণি ওসমানী | Who was Muhammad Ataul Goni Osmani | Biography | Information |,Miscellaneous,"এরা ছিলেন মানুষ নীতি বিষর্জন দিতে জানতেন না তাতে পদ গেলে যাক, স্যালুট, অাল্লাহ তাকে জান্নাত নসীব করুক",1,Spelling,"এরা ছিলেন মানুষ নীতি বিসর্জন দিতে জানতেন না তাতে পদ গেলে যাক, স্যালুট, আল্লাহ তাকে জান্নাত নসিব করুক","এরা ছিলেন মানুষ, নীতি বিসর্জন দিতে জানতেন না। তাতে পদ গেলে যাক। স্যালুট, আল্লাহ্‌ তাকে জান্নাত নসীব করুক।","বিষর্জন-বিসর্জন, অাল্লাহ-আল্লাহ্‌."
lN4vbH9FGKY,Anupam Movie Songs,2021-02-23T14:00:49Z,Porena Chokher Polok | পড়েনা চোখের পলক | Riaz & Ravina |  Andrew | Praner Cheye Priyo | Anupam,Entertainment ,এই গান এন্ডো কেশরের অমর সৃষ্টি যা যুগ যুগ ধরে কোটি শ্রতার মনে গেঁথে থাকবে 💞💖💞,1,Spelling,এই গান এন্ডো কেশরের অমর সৃষ্টি যা যুগ যুগ ধরে কোটি শ্রোতার মনে গেঁথে থাকবে 💞💖💞,"এই গান এণ্ড্রু কিশোরের অমর সৃষ্টি, যা যুগ যুগ ধরে কোটি শ্রোতার মনে গেঁথে থাকবে।","এন্ডো কেশরের-এণ্ড্রু কিশোরের, শ্রতার-শ্রোতার."
iK0gXMW_zPc,SOMOY TV,2023-10-09T09:45:09Z,ইসরাইলের সার্বভৌমত্ব রক্ষার হাতিয়ার লেজার উইপন? এগিয়ে কোন দেশ? | দৃশ্যপট | Israel-Palestine War,News,অসংখ্য ধন্যবাদ রাশিয়ার অনারেবল প্রেসিডেন্ট মিঃ ভ্লাদিমির পুতিন সাহেব কে এগিয়ে যান শুভকামনা রইল রাশিয়ার জন্য জয় হউক রাশিয়ার জয় হউক পুতিন সাহেব এর ❤❤❤❤,1,Code Switching,অসংখ্য ধন্যবাদ রাশিয়ার সম্মানিত প্রেসিডেন্ট মি. ভ্লাদিমির পুতিন সাহেব কে এগিয়ে যান শুভকামনা রইল রাশিয়ার জন্য জয় হউক রাশিয়ার জয় হউক পুতিন সাহেব এর ❤❤❤❤,"অসংখ্য ধন্যবাদ রাশিয়ার অনারেবল প্রেসিডেন্ট মিঃ ভ্লাদিমির পুতিন সাহেবকে। এগিয়ে যান, শুভকামনা রইল রাশিয়ার জন্য। জয় হোক রাশিয়ার, জয় হোক পুতিন সাহেবের। ❤❤❤❤","কে-কে।, যান-যান,, এর-এর।"
