Video ID,Channel name ,Time of Publishing,Title,Genre,Comment,corrected_text,generated_reason
bKs3AV8rwlg,Anupam Movie Songs,2018-10-11T05:00:01Z,Nil Akasher Niche | নীল আকাশের নীচে | Razzak | Khandokar Faruk Ahmed | Nil Akasher Niche,Entertainment,"দারুন একটা গান শুনলাম, মানুষের  তারুণ্য  সৌন্দর্য  কোথায় যায় ।","দারুণ একটা গান শুনলাম, মানুষের তারুণ্য ও সৌন্দর্য কোথায় যায়।","দারুন - দারুণ, তারুণ্য  সৌন্দর্য- তারুণ্য ও সৌন্দর্য।"
CSGiwf7KlrQ,KAMRUF Multimedia,2012-12-27T13:47:46Z,"Bangladesh National Anthem , My golden Bengal আমার সোনার বাংলা, Amar Shonar Bangla   -  HD HQ",Entertainment,"জাতির গর্ব জাতীয় সঙ্গীত , জাতীয় পতাকা, ভুখন্ড ও তাঁর লোকবল।  আমরা প্রাণ খুলে মন ভরে গাই জাতীয় সঙ্গীত।  জানাই প্রানের উচ্ছাস। দেশকে ভালবাসার প্রমান জাতীয় সঙ্গীত অন্তরে ধারণ ও কন্ঠে পরিবেশন। আমি দেশকে ভালবাসি , আমরা দেশকে ভালবাসি।   ","জাতির গর্ব জাতীয় সঙ্গীত, জাতীয় পতাকা, ভূখণ্ড ও তার লোকবল। আমরা প্রাণ খুলে, মন ভরে জাতীয় সঙ্গীত গাই। জানাই প্রাণের উচ্ছ্বাস। দেশকে ভালোবাসার প্রমাণ জাতীয় সঙ্গীত অন্তরে ধারণ ও কণ্ঠে পরিবেশন। আমি দেশকে ভালোবাসি, আমরা দেশকে ভালোবাসি।","ভুখন্ড-ভূখণ্ড, তাঁর-তার, গাই-গাই।, প্রানের-প্রাণের, ভালবাসার-ভালোবাসার।"
1vvPhwnSTFY,Dhruba Clips,2019-09-10T14:12:09Z,ঘাড়ত্যাড়া বাড়িওয়ালা | Desi Bariwala | Bangla Funny Video | Family Entertainment bd | Desi Cid |,Entertainment,ভাই খুব ভালো লাগলো কারণ এখন কার বাড়ুওয়ালা৷ ঠিক এমন,ভাই খুব ভালো লাগলো কারণ এখনকার বাড়াবাড়ি/বাড়োয়ালা/বাড়োয়ালা৷ ঠিক এমন।,"কার-কার, বাড়ুওয়ালা-বাড়াবাড়ি/বাড়োয়ালা/বাড়োয়ালা৷"
SYe-x9ZQF7o,Arnob Ahmed Kamrul,2022-04-23T06:41:46Z,Sei tumi keno eto ochena hole | Ayub Bachchu | LRB | সেই তুমি কেন এতো অচেনা হলে,Entertainment,"১৯৯৩  সালের মুক্তি  পাওয়া এই এলব্যাম টি, আইয়ুব  বাচ্চুর প্রতিটা গান খুব  অসাধারণ , আজ প্রিয় শিল্পী  নেই বেচে, কিনতু তার গানগুলো বেচে থাকবে সারাজীবন ,","১৯৯৩ সালের মুক্তি পাওয়া এই অ্যালবামটি, আইয়ুব বাচ্চুর প্রতিটা গান খুব অসাধারণ। আজ প্রিয় শিল্পী বেঁচে নেই, কিন্তু তার গানগুলো বেঁচে থাকবে সারাজীবন।","এলব্যাম টি-অ্যালবামটি, আইয়ুব বাচ্চুর প্রতিটা গান খুব অসাধারণ ,-আইয়ুব বাচ্চুর প্রতিটা গান খুব অসাধারণ।, নেই বেচে,-বেঁচে নেই,-বেঁচে, কিনতু-কিন্তু।"
vmFrsGYNLgQ,BBC News বাংলা,2020-08-15T09:00:13Z,শেখ মুজিব হত্যার পর জেনারেল জিয়া যে মন্তব্য করেছিলেন,News,আল্লাহ পাক জেন আমার দুই নেতাকে বেহেস্ত নসিব করেন আমিন,আল্লাহ পাক যেন আমার দুই নেতাকে বেহেশত নসিব করেন। আমিন।,"জেন - যেন, বেহেস্ত - বেহেশত।"
RVEf9Cv_S7I,Ekattor TV,2023-07-19T13:59:41Z,যমুনা যেন গিলে খেতে চাইছে তাজমহলকে ! | Tajmahal | India | Ekattor TV,News,ডুববো না আমার বাংলাদেশ  আল্লাহু আকবার,"ডুববে না আমার বাংলাদেশ, আল্লাহু আকবার।","ডুববো-ডুববে,  - ,"
yJX-CiuKKbg,SOMOY TV,2024-01-13T14:50:01Z,"‘কেউ বাদ যাবে না, পাওনা বুঝে পাবেন সবাই’ | Evaly | Online shopping platform | Somoy TV",News,আবার ভাওতাবাজি শুরু করেছে তার আসল কোন বুঝি নাই সেই লাভের টাকা দিয়ে দেনা শোধ করবে আবার চিটারি পাল্লায় পড়বেন না কেউ এখানে অর্ডার দিয়ে,"আবার ভাওতাবাজি শুরু করেছে, তার আসলে কোন বুদ্ধি নাই। সেই লাভের টাকা দিয়ে দেনা শোধ করবে, আবার চিটারির পাল্লায় পড়বেন না কেউ, এখানে অর্ডার দিয়ে।","কোন বুঝি নাই - আসলে কোন বুদ্ধি নাই, চিটারি-চিটারির, দিয়ে-দিয়ে।"
bKs3AV8rwlg,Anupam Movie Songs,2018-10-11T05:00:01Z,Nil Akasher Niche | নীল আকাশের নীচে | Razzak | Khandokar Faruk Ahmed | Nil Akasher Niche,Entertainment,"১৯৬৯ সালের গান এখোনো চলে,আর এখন যে শিল্পী দুই বছর আগের গান গুগলেও খুজে পাইনা😂😂😂","১৯৬৯ সালের গান এখনো চলে, আর এখন যে শিল্পীর দুই বছর আগের গান গুগলেও খুঁজে পাওয়া যায় না 😂😂😂","এখোনো-এখনো, যে শিল্পী-যে শিল্পীর, খুজে-খুঁজে, পাইনা-পাওয়া যায় না।"
Mm0W5qCFGMg,SOMOY TV,2023-09-24T02:31:57Z,দোকানমালিককে পুলিশে দিল তরুণ-তরুণীরা | Mohammadpur News | Dhaka | Somoy TV,News,তানজিন সাকিবের কথার সাথে বাস্তবতা মীল আছে,তানজিন সাকিবের কথার সাথে বাস্তবতার মিল আছে।,"মীল-মিল, বাস্তবতা-বাস্তবতার।"
b7523Zc682E,Ruhi Çenet বাংলা,2023-03-31T12:46:28Z,আমি বিশ্বের সবচেয়ে উষ্ণ স্থানে গিয়েছিলাম (৭০.৭°সে.) লুত মরুভূমি,Miscellaneous,ডকুমেন্টারি কন্টেন্ট এর রুহি ভাইয়ার পক্ষ 23 মিনিটের একটি বড় উপহার ❤,ডকুমেন্টারি কন্টেন্টের রুহি ভাইয়ার পক্ষ থেকে ২৩ মিনিটের একটি বড় উপহার। ❤,"এর - এর, পক্ষ - পক্ষ থেকে, 23 - ২৩।"
